monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,region,Cooking Allowed,Sauna,Gymnasium,Multipurpose hall,Minimart,Internet,Squash Court,Jogging Track,Club house,Washing Machine,Security,Barbeque area,Lift,Air-Cond,Playground,Swimming Pool,Tennis Court,Near KTM/LRT,location_bin
2100.0,Cheras,Condominium,4,1.0,3.0,1300,2,Kuala Lumpur,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,3
1300.0,KL City,Apartment,3,1.0,2.0,805,1,Kuala Lumpur,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,6
2600.0,Wangsa Maju,Condominium,4,2.0,2.0,1000,2,Kuala Lumpur,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,4
2000.0,Ampang Hilir,Service Residence,1,1.0,1.0,440,2,Kuala Lumpur,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,6
2500.0,Bukit Jalil,Condominium,3,2.0,2.0,1028,2,Kuala Lumpur,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,3
2000.0,Setapak,Condominium,4,1.0,2.0,940,2,Kuala Lumpur,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,4
1800.0,Setapak,Condominium,3,1.0,2.0,860,2,Kuala Lumpur,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,4
1700.0,Jalan Kuching,Condominium,3,2.0,2.0,1100,1,Kuala Lumpur,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5
1600.0,Setapak,Condominium,4,1.0,2.0,914,1,Kuala Lumpur,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,4
2000.0,Jalan Kuching,Condominium,3,2.0,2.0,1100,2,Kuala Lumpur,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,5
1500.0,Kepong,Condominium,3,2.0,2.0,1100,1,Kuala Lumpur,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,3
1700.0,Jalan Kuching,Condominium,3,2.0,2.0,1100,1,Kuala Lumpur,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,5
1850.0,Kepong,Condominium,3,2.0,2.0,1100,2,Kuala Lumpur,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
1700.0,Sentul,Condominium,4,2.0,3.0,1200,1,Kuala Lumpur,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,4
1700.0,Jalan Ipoh,Service Residence,2,1.0,2.0,904,2,Kuala Lumpur,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,5
1800.0,Kepong,Condominium,4,2.0,2.0,1300,1,Kuala Lumpur,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,3
1600.0,Setapak,Condominium,3,1.0,2.0,950,1,Kuala Lumpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1600.0,Kepong,Condominium,3,2.0,2.0,1100,1,Kuala Lumpur,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,3
1400.0,Cheras,Service Residence,2,2.0,2.0,650,0,Kuala Lumpur,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,3
1000.0,KLCC,Apartment,3,2.0,2.0,1000,1,Kuala Lumpur,1,0,0,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,6
2700.0,Setiawangsa,Condominium,3,1.0,2.0,1115,1,Kuala Lumpur,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,5
1400.0,Gombak,Service Residence,3,1.0,2.0,850,0,Kuala Lumpur,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,4
1500.0,Cheras,Condominium,2,1.0,1.0,717,2,Kuala Lumpur,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,3
1350.0,Wangsa Maju,Apartment,3,1.0,2.0,850,1,Kuala Lumpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1300.0,Sentul,Service Residence,3,1.0,2.0,1150,0,Kuala Lumpur,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,4
1300.0,Bukit Jalil,Apartment,3,1.0,2.0,1000,0,Kuala Lumpur,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,3
900.0,Cheras,Apartment,2,1.0,1.0,550,1,Kuala Lumpur,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,3
1300.0,Cheras,Condominium,3,1.0,2.0,967,1,Kuala Lumpur,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,3
2500.0,Wangsa Maju,Condominium,4,1.0,2.0,1184,1,Kuala Lumpur,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,4
1300.0,Taman Desa,Condominium,2,1.0,2.0,1050,1,Kuala Lumpur,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,4
1700.0,Wangsa Maju,Condominium,3,1.0,3.0,1267,1,Kuala Lumpur,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,4
2000.0,Wangsa Maju,Condominium,3,1.0,3.0,1267,2,Kuala Lumpur,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,4
2100.0,Sentul,Service Residence,2,1.0,2.0,999,1,Kuala Lumpur,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0,1,4
1750.0,Sungai Besi,Condominium,3,2.0,2.0,1121,2,Kuala Lumpur,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,4
2000.0,Kepong,Apartment,2,1.0,2.0,872,2,Kuala Lumpur,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,3
1300.0,Ampang,Apartment,3,0.0,2.0,860,0,Kuala Lumpur,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,3
1100.0,Sungai Besi,Condominium,3,1.0,2.0,904,1,Kuala Lumpur,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,0,1,4
1300.0,KL City,Apartment,3,1.0,2.0,835,2,Kuala Lumpur,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,6
850.0,Jinjang,Apartment,3,0.0,2.0,750,1,Kuala Lumpur,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
1400.0,Sri Petaling,Condominium,3,1.0,2.0,1129,2,Kuala Lumpur,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,4
1900.0,Kepong,Service Residence,2,1.0,2.0,1132,1,Kuala Lumpur,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,3
1700.0,Sentul,Condominium,2,1.0,1.0,700,1,Kuala Lumpur,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,4
2100.0,Setapak,Service Residence,3,2.0,2.0,1000,1,Kuala Lumpur,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,4
1550.0,Cheras,Condominium,4,1.0,2.0,1142,1,Kuala Lumpur,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,3
1400.0,Setapak,Condominium,4,2.0,2.0,1300,1,Kuala Lumpur,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,4
1800.0,Setapak,Apartment,3,1.0,2.0,884,2,Kuala Lumpur,1,0,0,1,0,1,0,0,0,1,1,1,1,0,1,1,0,1,4
1300.0,Sentul,Service Residence,3,1.0,2.0,819,1,Kuala Lumpur,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,4
2500.0,Sentul,Service Residence,3,1.0,2.0,850,2,Kuala Lumpur,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,4
2300.0,Setapak,Service Residence,3,2.0,2.0,1000,1,Kuala Lumpur,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,1,4
1350.0,Cheras,Service Residence,2,1.0,1.0,650,1,Kuala Lumpur,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,3
1100.0,Kepong,Apartment,3,2.0,2.0,800,1,Kuala Lumpur,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,3
1700.0,Sentul,Condominium,3,2.0,2.0,1300,1,Kuala Lumpur,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,4
1800.0,Bangsar South,Apartment,3,1.0,2.0,1200,1,Kuala Lumpur,1,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,5
1600.0,Setapak,Service Residence,3,1.0,2.0,770,2,Kuala Lumpur,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,4
1600.0,Setapak,Service Residence,3,2.0,2.0,800,2,Kuala Lumpur,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,4
1650.0,Sentul,Service Residence,3,2.0,2.0,850,1,Kuala Lumpur,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4
1200.0,Sentul,Service Residence,2,1.0,1.0,646,0,Kuala Lumpur,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,4
1200.0,Pantai,Condominium,2,1.0,2.0,1000,1,Kuala Lumpur,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,4
1400.0,Desa Pandan,Apartment,3,1.0,2.0,1000,1,Kuala Lumpur,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,5
2600.0,Wangsa Maju,Service Residence,4,0.0,2.0,877,2,Kuala Lumpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
900.0,Setapak,Service Residence,1,1.0,1.0,360,2,Kuala Lumpur,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,1,0,4
1200.0,Wangsa Maju,Service Residence,1,1.0,1.0,521,1,Kuala Lumpur,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4
2500.0,Brickfields,Service Residence,1,1.0,1.0,468,2,Kuala Lumpur,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,6
2200.0,Kepong,Condominium,3,2.0,2.0,1100,2,Kuala Lumpur,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
2300.0,Desa ParkCity,Condominium,3,1.0,2.0,862,2,Kuala Lumpur,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,6
1500.0,Cheras,Condominium,4,1.0,2.0,1142,1,Kuala Lumpur,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
1600.0,Bukit Jalil,Condominium,3,2.0,2.0,1224,2,Kuala Lumpur,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,3
700.0,Sentul,Apartment,3,1.0,1.0,700,0,Kuala Lumpur,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
